kd_nM,prior_density,posterior_density
0.00514629,3.61319e-05,0
0.005165,3.63373e-05,0
0.00518377,3.65438e-05,0
0.00520261,3.67514e-05,0
0.00522152,3.69602e-05,0
0.0052405,3.717e-05,0
0.00525955,3.7381e-05,0
0.00527867,3.75931e-05,0
0.00529785,3.78063e-05,0
0.00531711,3.80206e-05,0
0.00533643,3.82361e-05,0
0.00535583,3.84527e-05,0
0.0053753,3.86705e-05,0
0.00539483,3.88894e-05,0
0.00541444,3.91095e-05,0
0.00543412,3.93308e-05,0
0.00545387,3.95532e-05,0
0.0054737,3.97769e-05,0
0.00549359,4.00017e-05,0
0.00551356,4.02277e-05,0
0.0055336,4.04549e-05,0
0.00555371,4.06833e-05,0
0.0055739,4.09129e-05,0
0.00559416,4.11437e-05,0
0.00561449,4.13757e-05,0
0.0056349,4.1609e-05,0
0.00565538,4.18435e-05,0
0.00567593,4.20792e-05,0
0.00569656,4.23162e-05,0
0.00571727,4.25544e-05,0
0.00573805,4.27939e-05,0
0.0057589,4.30347e-05,0
0.00577984,4.32767e-05,0
0.00580084,4.352e-05,0
0.00582193,4.37646e-05,0
0.00584309,4.40104e-05,0
0.00586433,4.42576e-05,0
0.00588564,4.4506e-05,0
0.00590703,4.47558e-05,0
0.0059285,4.50069e-05,0
0.00595005,4.52593e-05,0
0.00597168,4.5513e-05,0
0.00599338,4.57681e-05,0
0.00601517,4.60244e-05,0
0.00603703,4.62822e-05,0
0.00605897,4.65413e-05,0
0.00608099,4.68017e-05,0
0.0061031,4.70635e-05,0
0.00612528,4.73267e-05,0
0.00614754,4.75913e-05,0
0.00616989,4.78572e-05,0
0.00619231,4.81246e-05,0
0.00621482,4.83933e-05,0
0.00623741,4.86634e-05,0
0.00626008,4.8935e-05,0
0.00628283,4.92079e-05,0
0.00630567,4.94823e-05,0
0.00632859,4.97582e-05,0
0.00635159,5.00354e-05,0
0.00637468,5.03141e-05,0
0.00639785,5.05943e-05,0
0.0064211,5.08759e-05,0
0.00644444,5.1159e-05,0
0.00646786,5.14436e-05,0
0.00649137,5.17296e-05,0
0.00651496,5.20171e-05,0
0.00653864,5.23062e-05,0
0.00656241,5.25967e-05,0
0.00658626,5.28887e-05,0
0.0066102,5.31823e-05,0
0.00663423,5.34773e-05,0
0.00665834,5.3774e-05,0
0.00668254,5.40721e-05,0
0.00670683,5.43718e-05,0
0.00673121,5.4673e-05,0
0.00675567,5.49758e-05,0
0.00678023,5.52802e-05,0
0.00680487,5.55862e-05,0
0.0068296,5.58937e-05,0
0.00685443,5.62028e-05,0
0.00687934,5.65135e-05,0
0.00690434,5.68259e-05,0
0.00692944,5.71398e-05,0
0.00695462,5.74554e-05,0
0.0069799,5.77726e-05,0
0.00700527,5.80914e-05,0
0.00703073,5.84119e-05,0
