variant,param,multiplier,kd_nM,n_eff@1h,R2@1h,fold@1h,ratio_spread@1h,n_eff@3h,R2@3h,fold@3h,ratio_spread@3h,n_eff@6h,R2@6h,fold@6h,ratio_spread@6h,t_peak_lo,t_peak_hi,adapt_lo,adapt_hi
ox,Kd_TIP_TetR,0.01,0.0025,1.7958873827964,0.9087522827903074,5.018462868227911,0.11225165048788878,1.8207148888014115,0.9450039324740542,4.656622679271124,0.03257765160896358,1.8138688666018825,0.9515028566361885,4.438915373962226,0.012952788287671426,4.321080270067517,40.420105026256564,0.28083467855666516,0.44011883707949906
ox,Kd_TIP_TetR,0.1,0.025,1.791983949629216,0.9092542243234065,4.9931432270937774,0.11230862680467722,1.8167838149525972,0.9452116130595406,4.606122387809888,0.0335711967231123,1.8095658577227531,0.9513745970046344,4.373790171228826,0.01350815892527599,4.321080270067517,40.420105026256564,0.28083467855776884,0.440118837078922
ox,Kd_TIP_TetR,1.0,0.25,1.7630974210522543,0.9130029807582546,4.754622021755794,0.11313240866151392,1.7961054857831869,0.9466468843009337,4.244251826439442,0.03992390939100745,1.7893414438892492,0.9511654855884693,3.976721055677485,0.014798139480001648,4.321080270067517,40.420105026256564,0.2808346785534437,0.44011883704314586
ox,Kd_TIP_TetR,4.0,1.0,1.725401270310191,0.9185127329551717,4.144044079056601,0.11982893737736089,1.7856156625518476,0.9486172660122485,3.658551648059187,0.04087470852242491,1.781600776213152,0.9519169894864368,3.4379970903628974,0.013145779670823757,4.321080270067517,40.420105026256564,0.28083467854505456,0.4401188370268208
ox,Kd_TIP_TetR,6.0,1.5,1.7181333337919233,0.9202312891443761,3.848040273578224,0.12523826758616072,1.7865877976448121,0.949326473222954,3.4245904899279083,0.03916850667158424,1.7831443534934939,0.9523887871984852,3.227296670563119,0.012356945444399102,4.321080270067517,40.420105026256564,0.28083467854158206,0.44011883703240273
ox,Kd_TIP_TetR,8.0,2.0,1.7159922331363129,0.9214301682251183,3.608172691228148,0.13009050603951353,1.788574870993464,0.9498812818647232,3.2409243659677385,0.037371031263268295,1.7854405571806635,0.9528131387620065,3.060641706781297,0.011809680251815523,4.321080270067517,40.420105026256564,0.28083467854303085,0.4401188370426669
ox,Kd_TIP_TetR,10.0,2.5,1.7164435820881183,0.9223635555952749,3.4085827848603896,0.13410270023660306,1.7908293013042647,0.950348858706685,3.089115618432961,0.03565903872948147,1.7878940021430536,0.9531997936045226,2.9220282123157912,0.011391558510424737,4.321080270067517,40.420105026256564,0.2808346785447911,0.44011883705660004
ox,Kd_TIP_TetR,12.0,3.0,1.718293769327668,0.9231410530276078,3.239188388869724,0.13726612462727733,1.7931057022107628,0.9507587318961874,2.959887199031169,0.03406657038373435,1.7903110419491608,0.9535555441157897,2.803508283706467,0.011052837438353039,4.321080270067517,40.420105026256564,0.2808346785488674,0.4401188370516471
ox,Kd_TIP_TetR,16.0,4.0,1.7239505688462797,0.9244196278482916,2.965842851619177,0.14141128303249312,1.797415371290409,0.9514615250494565,2.74904122572308,0.031231603054354323,1.7947997279217442,0.9541920980051157,2.609355205258222,0.010515638707981867,4.321080270067517,40.420105026256564,0.280834678565606,0.44011883704015925
ox,Kd_TIP_TetR,20.0,5.0,1.7304994849834028,0.9254715626138115,2.7538395159638105,0.14334645486932204,1.8012758107843907,0.9520559699290984,2.582517088485078,0.028799076950575528,1.798750292835381,0.9547484494740607,2.455559901686904,0.01008680574073768,4.321080270067517,40.420105026256564,0.280834678574898,0.4401188370546762
ox,Kd_TIP_TetR,30.0,7.5,1.7461429970997735,0.9275336375820838,2.3839499536868543,0.14255822757487802,1.809101241680085,0.9532407315964999,2.283469794672717,0.02402003126164402,1.8065670663927358,0.9558837123861299,2.1789466113927434,0.009248192883546513,4.321080270067517,40.420105026256564,0.2808346785892165,0.44011883704064053
ox,Kd_TIP_TetR,40.0,10.0,1.7588388273367586,0.9290884111211434,2.1439715572026827,0.13795829665282855,1.81494797080446,0.9541465404075185,2.0823664492138567,0.020518111457608356,1.8122224474093382,0.956761527923723,1.992960554077555,0.00858574243025999,4.321080270067517,40.420105026256564,0.2808346785956031,0.44011883702485255
ox,Kd_TIP_TetR,60.0,15.0,1.7763780311546555,0.9312901872793367,1.8496753495197262,0.1257727490555229,1.822964196462106,0.9554643029822686,1.8265503921394957,0.01584385957159272,1.819679526659254,0.958037879548039,1.7567671458733494,0.0075426560867957225,4.321080270067517,40.420105026256564,0.28083467861380557,0.44011883703999977
ox,Kd_TIP_TetR,80.0,20.0,1.7871856742693253,0.9327500772754774,1.6755404216784753,0.11380832468720194,1.8281171876390996,0.9563853541122252,1.6696329932714902,0.012803886649157416,1.8242713334396634,0.9589240344548279,1.612237163638725,0.006735460482323729,4.321080270067517,40.420105026256564,0.2808346786228303,0.440118837035052
ox,Kd_TIP_TetR,100.0,25.0,1.79420866426111,0.9337634830548437,1.5603351059182486,0.10327119027882274,1.8316599451687696,0.9570674175191044,1.5631902158534625,0.010674096930180595,1.827328757284887,0.9595758718059328,1.5143934228312106,0.0060859448501566875,4.321080270067517,40.420105026256564,0.28083467862682454,0.4401188370333643
ox,Kd_TIP_TetR,250.0,62.5,1.8115200254737975,0.9363701419032379,1.2443672316374277,0.058894126182229195,1.8415595379316094,0.9593136798372952,1.257709463337593,0.004491203404248515,1.8353857176479278,0.9617023634811549,1.2346679934291973,0.0035266794952104074,4.321080270067517,40.420105026256564,0.28083467862907213,0.44011883705504906
ox,Kd_TIP_TetR,400.0,100.0,1.8159303473516348,0.9368151714875312,1.155711647096997,0.040734460750989875,1.8442716584463108,0.960056568510725,1.167208343599099,0.002792345664006316,1.8374288848827829,0.9624087213122609,1.1521372593036614,0.0024786833860487166,4.321080270067517,40.420105026256564,0.28083467863251205,0.44011883708409505
ox,Kd_TIP_TetR,1000.0,250.0,1.8210780195375538,0.9368692888764505,1.0633104670580869,0.0180983373260789,1.847082408967317,0.9608750613175286,1.0695459402975966,0.001089275265734926,1.8393983388548076,0.96320666466023,1.0632377838374332,0.0011301741101953935,4.321080270067517,40.420105026256564,0.28083467863084793,0.4401188371606427
