P_both,P_detect,P_timer,fold_median,fold_p05,fold_p95,fold_threshold,n_samples,ratio_median,ratio_p05,ratio_p95,ratio_threshold,readout,sigma_kcal,variant
0.858505,0.858505,1.0,2.499311389871787,1.0520590329339063,4.410760713320215,1.2,200000,0.02746937478145345,0.0008074996156078012,0.040626722412535454,0.1,3h,1.5,ox
0.675715,0.675715,1.0,1.5122977018346042,1.011763953624414,3.170491771407712,1.2,200000,0.03643991909765736,0.0008831205363918622,0.08045619663353881,0.1,3h,1.5,er
0.675715,,,,,,1.2,200000,,,,0.1,3h,1.5,joint
